iter	Passed	Remaining
541	1142	965
542	1144	962
543	1145	960
544	1147	958
545	1149	955
546	1151	953
547	1153	951
548	1154	948
549	1156	946
550	1158	943
551	1159	941
552	1161	938
553	1163	936
554	1164	934
555	1166	931
556	1168	929
557	1170	927
558	1172	925
559	1174	922
560	1176	920
561	1177	917
562	1179	915
563	1181	913
564	1182	910
565	1184	908
566	1186	905
567	1187	903
568	1189	901
569	1191	898
570	1193	896
571	1194	894
572	1196	891
573	1198	889
574	1200	887
575	1201	884
576	1203	882
577	1205	879
578	1206	877
579	1208	875
580	1210	873
581	1212	870
582	1214	868
583	1215	866
584	1217	863
585	1219	861
586	1221	859
587	1222	856
588	1224	854
589	1226	852
590	1228	849
591	1229	847
592	1231	845
593	1233	843
594	1235	840
595	1236	838
596	1238	836
597	1240	833
598	1242	831
599	1243	829
600	1245	826
601	1247	824
602	1248	822
603	1250	819
604	1252	817
605	1254	815
606	1255	813
607	1258	811
608	1259	808
609	1261	806
610	1262	804
611	1264	801
612	1266	799
613	1268	797
614	1269	794
615	1271	792
616	1273	790
617	1275	788
618	1276	785
619	1278	783
620	1280	781
621	1282	779
622	1283	776
623	1285	774
624	1287	772
625	1288	770
626	1290	767
627	1292	765
628	1294	763
629	1295	761
630	1297	758
631	1299	756
632	1301	754
633	1302	752
634	1304	749
635	1306	747
636	1307	745
637	1309	743
638	1311	740
639	1313	738
640	1314	736
641	1316	734
642	1318	731
643	1320	729
644	1321	727
645	1323	725
646	1325	723
647	1327	720
648	1328	718
649	1330	716
650	1332	714
651	1334	712
652	1335	709
653	1337	707
654	1339	705
655	1341	703
656	1342	700
657	1344	698
658	1345	696
659	1347	694
660	1349	692
661	1351	690
662	1353	687
663	1354	685
664	1356	683
665	1357	680
666	1359	678
667	1361	676
668	1363	674
669	1364	672
670	1366	670
671	1368	667
672	1370	665
673	1371	663
674	1373	661
675	1375	659
676	1376	656
677	1378	654
678	1380	652
679	1381	650
680	1383	648
681	1385	645
682	1387	643
683	1388	641
684	1390	639
685	1392	637
686	1394	635
687	1395	632
688	1396	630
689	1398	628
690	1400	626
691	1401	623
692	1403	621
693	1405	619
694	1406	617
695	1408	615
696	1410	613
697	1412	610
698	1413	608
699	1415	606
700	1417	604
701	1418	602
702	1420	600
703	1422	598
704	1424	595
705	1425	593
706	1427	591
707	1429	589
708	1431	587
709	1432	585
710	1434	583
711	1436	580
712	1438	578
713	1439	576
714	1441	574
715	1443	572
716	1444	570
717	1446	568
718	1448	566
719	1450	563
720	1451	561
721	1453	559
722	1455	557
723	1457	555
724	1458	553
725	1460	551
726	1462	549
727	1463	546
728	1465	544
729	1467	542
730	1468	540
731	1470	538
732	1472	536
733	1474	534
734	1476	532
735	1478	530
736	1479	528
737	1481	526
738	1483	524
739	1485	522
740	1488	520
741	1490	518
742	1491	516
743	1494	514
744	1496	512
745	1498	510
746	1500	508
747	1502	506
748	1504	504
749	1505	501
750	1507	499
751	1509	497
752	1510	495
753	1512	493
754	1514	491
755	1516	489
756	1518	487
757	1519	485
758	1521	483
759	1523	481
760	1525	478
761	1526	476
762	1528	474
763	1530	472
764	1532	470
765	1533	468
766	1535	466
767	1537	464
768	1538	462
769	1540	460
770	1542	458
771	1544	456
772	1545	453
773	1547	451
774	1549	449
775	1550	447
776	1552	445
777	1554	443
778	1555	441
779	1557	439
780	1559	437
781	1560	435
782	1562	432
783	1563	430
784	1565	428
785	1567	426
786	1569	424
787	1570	422
788	1572	420
789	1574	418
790	1575	416
791	1577	414
792	1579	412
793	1581	410
794	1582	408
795	1584	406
796	1586	403
797	1587	401
798	1589	399
799	1591	397
800	1592	395
801	1594	393
802	1596	391
803	1597	389
804	1599	387
805	1601	385
806	1603	383
807	1605	381
808	1606	379
809	1608	377
810	1610	375
811	1612	373
812	1614	371
813	1615	369
814	1617	367
815	1619	365
816	1620	363
817	1622	361
818	1624	359
819	1626	356
820	1627	354
821	1629	352
822	1631	350
823	1632	348
824	1634	346
825	1636	344
826	1637	342
827	1639	340
828	1641	338
829	1643	336
830	1644	334
831	1646	332
832	1648	330
833	1649	328
834	1651	326
835	1653	324
836	1655	322
837	1656	320
838	1658	318
839	1660	316
840	1661	314
841	1663	312
842	1665	310
843	1667	308
844	1668	306
845	1670	304
846	1672	302
847	1673	300
848	1675	297
849	1677	295
850	1678	293
851	1680	291
852	1682	289
853	1683	287
854	1685	285
855	1687	283
856	1689	281
857	1690	279
858	1692	277
859	1694	275
860	1696	273
861	1697	271
862	1699	269
863	1701	267
864	1703	265
865	1704	263
866	1706	261
867	1708	259
868	1710	257
869	1711	255
870	1713	253
871	1715	251
872	1716	249
873	1718	247
874	1720	245
875	1721	243
876	1723	241
877	1725	239
878	1726	237
879	1728	235
880	1730	233
881	1732	231
882	1733	229
883	1735	227
884	1737	225
885	1739	223
886	1740	221
887	1742	219
888	1744	217
889	1746	215
890	1747	213
891	1749	211
892	1751	209
893	1753	207
894	1754	205
895	1756	203
896	1758	201
897	1760	199
898	1761	197
899	1763	195
900	1765	193
901	1767	191
902	1768	189
903	1770	188
904	1772	186
905	1774	184
906	1775	182
907	1777	180
908	1779	178
909	1780	176
910	1782	174
911	1784	172
912	1786	170
913	1788	168
914	1789	166
915	1791	164
916	1793	162
917	1794	160
918	1796	158
919	1798	156
920	1800	154
921	1801	152
922	1803	150
923	1805	148
924	1806	146
925	1808	144
926	1810	142
927	1811	140
928	1813	138
929	1815	136
930	1817	134
931	1819	132
932	1821	130
933	1823	128
934	1825	126
935	1826	124
936	1829	122
937	1831	121
938	1833	119
939	1835	117
940	1837	115
941	1839	113
942	1841	111
943	1843	109
944	1845	107
945	1847	105
946	1849	103
947	1850	101
948	1852	99
949	1854	97
950	1855	95
951	1857	93
952	1859	91
953	1861	89
954	1862	87
955	1864	85
956	1866	83
957	1867	81
958	1869	79
959	1871	77
960	1873	76
961	1874	74
962	1876	72
963	1878	70
964	1879	68
965	1881	66
966	1883	64
967	1884	62
968	1886	60
969	1888	58
970	1890	56
971	1892	54
972	1894	52
973	1896	50
974	1897	48
975	1899	46
976	1901	44
977	1902	42
978	1904	40
979	1906	38
980	1908	36
981	1909	35
982	1911	33
983	1913	31
984	1914	29
985	1916	27
986	1918	25
987	1920	23
988	1921	21
989	1923	19
990	1925	17
991	1926	15
992	1928	13
993	1930	11
994	1931	9
995	1933	7
996	1935	5
997	1937	3
998	1938	1
999	1940	0
